"state_name","parliament__parliament_code","parliament__parliament_name","parliament__coordinate__x","parliament__coordinate__y"
"PERLIS","P001","PADANG BESAR","50","20"
"","P002","KANGAR","50","30"
"","P003","ARAU","40","30"
"KEDAH","P004","LANGKAWI","10","50"
"","P005","JERLUN","40","60"
"","P006","KUBANG PASU","50","50"
"","P007","PADANG TERAP","60","50"
"","P008","POKOK SENA","50","60"
"","P009","ALOR SETAR","60","70"
"","P010","KUALA KEDAH","50","70"
"","P011","PENDANG","30","70"
"","P012","JERAI","60","90"
"","P013","SIK","70","60"
"","P014","MERBOK","80","90"
"","P015","SUNGAI PETANI","70","90"
"","P016","BALING","80","80"
"","P017","PADANG SERAI","80","100"
"","P018","KULIM","60","100"
"PULAU PINANG","P041","KEPALA BATAS","40","90"
"","P042","TASEK GELUGOR","20","90"
"","P043","BAGAN","40","100"
"","P044","PERMATANG PAUH","30","100"
"","P045","BUKIT MERTAJAM","50","120"
"","P046","BATU KAWAN","30","120"
"","P047","NIBONG TEBAL","10","120"
"","P048","BUKIT BENDERA","-10","90"
"","P049","TANJONG","-30","90"
"","P050","JELUTONG","-10","100"
"","P051","BUKIT GELUGOR","-20","100"
"","P052","BAYAN BARU","-30","120"
"","P053","BALIK PULAU","-10","120"
"PERAK","P054","GERIK","100","90"
"","P055","LENGGONG","110","110"
"","P056","LARUT","100","110"
"","P057","PARIT BUNTAR","100","120"
"","P058","BAGAN SERAI","90","120"
"","P059","BUKIT GANTANG","70","120"
"","P060","TAIPING","100","130"
"","P061","PADANG RENGAS","80","130"
"","P062","SUNGAI SIPUT","60","130"
"","P063","TAMBUN","40","130"
"","P064","IPOH TIMUR","20","130"
"","P065","IPOH BARAT","110","150"
"","P066","BATU GAJAH","90","150"
"","P067","KUALA KANGSAR","70","150"
"","P068","BERUAS","50","150"
"","P069","PARIT","30","150"
"","P070","KAMPAR","110","160"
"","P071","GOPENG","100","160"
"","P072","TAPAH","80","160"
"","P073","PASIR SALAK","60","160"
"","P074","LUMUT","40","160"
"","P075","BAGAN DATUK","20","160"
"","P076","TELOK INTAN","120","180"
"","P077","TANJONG MALIM","110","180"
"KELANTAN","P019","TUMPAT","110","80"
"","P020","PENKALAN CHEPA","130","80"
"","P021","KOTA BHARU","120","90"
"","P022","PASIR MAS","140","90"
"","P023","RANTAU PANJANG","150","100"
"","P024","KUBANG KERIAN","130","100"
"","P025","BACHOK","160","120"
"","P026","KETEREH","140","120"
"","P027","TANAH MERAH","120","120"
"","P028","PASIR PUTEH","170","130"
"","P029","MACHANG","150","130"
"","P030","JELI","130","130"
"","P031","KUALA KRAI","110","130"
"","P032","GUA MUSANG","120","150"
"SELANGOR","P092","SABAK BERNAM","90","180"
"","P093","SUNGAI BESAR","70","180"
"","P094","HULU SELANGOR","50","180"
"","P095","TANJONG KARANG","30","180"
"","P096","KUALA SELANGOR","120","190"
"","P097","SELAYANG","100","190"
"","P098","GOMBAK","40","190"
"","P099","AMPANG","110","210"
"","P100","PANDAN","30","210"
"","P101","HULU LANGAT","120","220"
"","P102","SERDANG","40","220"
"","P103","PUCHONG","110","240"
"","P104","KELANA JAYA","30","240"
"","P105","PETALING JAYA SELATAN","100","260"
"","P106","PETALING JAYA UTARA","80","260"
"","P107","SUBANG","40","260"
"","P108","SHAH ALAM","110","270"
"","P109","KAPAR","90","270"
"","P110","KLANG","70","270"
"","P111","KOTA RAJA","50","270"
"","P112","KUALA LANGAT","80","280"
"","P113","SEPANG","60","280"
"PAHANG","P078","CAMERON HIGHLANDS","150","200"
"","P079","LIPIS","130","200"
"","P080","RAUB","160","210"
"","P081","JERANTUT","140","210"
"","P082","INDERA MAHKOTA","120","210"
"","P083","KUANTAN","150","220"
"","P084","PAYA BESAR","130","220"
"","P085","PEKAN","160","240"
"","P086","MARAN","140","240"
"","P087","KUALA KRAU","120","240"
"","P088","TEMERLOH","170","250"
"","P089","BENTONG","150","250"
"","P090","BERA","130","250"
"","P091","ROMPIN","110","250"
"TERENGGANU","P033","BESUT","160","150"
"","P034","SETIU","140","150"
"","P035","KUALA NERUS","170","160"
"","P036","KUALA TERENGGANU","150","160"
"","P037","MARANG","130","160"
"","P038","HULU TERENGGANU","160","180"
"","P039","DUNGUN","140","180"
"","P040","KEMAMAN","160","200"
"KUALA LUMPUR","P114","KEPONG","80","190"
"","P115","BATU","60","190"
"","P116","WANGSA MAJU","90","210"
"","P117","SEGAMBUT","70","210"
"","P118","SETIAWANGSA","50","210"
"","P119","TITIWANGSA","100","220"
"","P120","BUKIT BINTANG","80","220"
"","P121","LEMBAH PANTAI","60","220"
"","P122","SEPUTEH","90","240"
"","P123","CHERAS","70","240"
"","P124","BANDAR TUN RAZAK","50","240"
"PUTRAJAYA","P125","PUTRAJAYA","60","250"
"NEGERI SEMBILAN","P127","JEMPOL","120","280"
"","P128","SEREMBAN","100","280"
"","P129","KUALA PILAH","120","300"
"","P130","RASAH","100","300"
"","P131","REMBAU","80","300"
"","P132","TELOK KEMANG","110","310"
"","P133","TAMPIN","90","310"
"MELAKA","P134","MASJID TANAH","130","310"
"","P135","ALOR GAJAH","150","310"
"","P136","TANGGA BATU","160","330"
"","P137","BUKIT KATIL","140","330"
"","P138","KOTA MELAKA","120","330"
"","P139","JASIN","100","330"
"JOHOR","P140","SEGAMAT","180","270"
"","P141","SEKIJANG","160","270"
"","P142","LABIS","140","270"
"","P143","PAGOH","120","270"
"","P144","LEDANG","190","280"
"","P145","BAKRI","170","280"
"","P146","MUAR","150","280"
"","P147","PARIT SULONG","130","280"
"","P148","AYER HITAM","190","300"
"","P149","SRI GADING","170","300"
"","P150","BATU PAHAT","150","300"
"","P151","SIMPANG RENGGAM","130","300"
"","P152","KLUANG","200","310"
"","P153","SEMBRONG","180","310"
"","P154","MERSING","160","310"
"","P155","TENGARA","230","330"
"","P156","KOTA TINGGI","210","330"
"","P157","PENGERANG","190","330"
"","P158","TEBRAU","170","330"
"","P159","PASIR GUDANG","240","340"
"","P160","JOHOR BAHRU","220","340"
"","P161","PULAI","200","340"
"","P162","GELANG PATAH","180","340"
"","P163","KULAI","230","360"
"","P164","PONTIAN","210","360"
"","P165","TANJONG PIAI","190","360"
"SABAH","P167","KUDAT","460","300"
"","P168","KOTA MARUDU","440","280"
"","P169","KOTA BELUD","460","280"
"","P170","TUARAN","470","280"
"","P171","SEPANGGAR","490","280"
"","P172","KOTA KINABALU","480","300"
"","P173","PUTATAN","430","270"
"","P174","PENAMPANG","450","270"
"","P175","PAPAR","460","270"
"","P176","KIMANIS","480","270"
"","P177","BEAUFORT","500","270"
"","P178","SIPITANG","500","300"
"","P179","RANAU","420","260"
"","P180","KENINGAU","440","260"
"","P181","TENOM","460","260"
"","P182","PENSIANGAN","470","260"
"","P183","BELURAN","490","260"
"","P184","LIBARAN","510","260"
"","P185","BATU SAPI","520","260"
"","P186","SANDAKAN","430","240"
"","P187","KINABATANGAN","450","240"
"","P188","SILAM","460","240"
"","P189","SEMPORNA","480","240"
"","P190","TAWAU","440","220"
"","P191","KALABAKAN","470","220"
"SARAWAK","P192","MAS GADING","420","290"
"","P193","SANTUBONG","390","290"
"","P194","PETRAJAYA","450","300"
"","P195","BANDAR KUCHING","440","300"
"","P196","STAMPIN","420","300"
"","P197","KOTA SAMARAHAN","400","300"
"","P198","MAMBONG","380","300"
"","P199","SERIAN","450","320"
"","P200","BATANG SADONG","430","320"
"","P201","BATANG LUPAR","410","320"
"","P202","SRI AMAN","390","320"
"","P203","LUBOK ANTU","370","320"
"","P204","BETONG","440","330"
"","P205","SARATOK","420","330"
"","P206","TANJONG MANIS","400","330"
"","P207","IGAN","380","330"
"","P208","SARIKEI","360","330"
"","P209","JULAU","340","330"
"","P210","KANOWIT","410","340"
"","P211","LANANG","390","340"
"","P212","SIBU","370","340"
"","P213","MUKAH","350","340"
"","P214","SELANGAU","330","340"
"","P215","KAPIT","290","340"
"","P216","HULU RAJANG","370","360"
"","P217","BINTULU","350","360"
"","P218","SIBUTI","330","360"
"","P219","MIRI","310","360"
"","P220","BARAM","290","360"
"","P221","LIMBANG","330","370"
"","P222","LAWAS","320","370"
"LABUAN","P166","LABUAN","400","260"
