Year,Age Group,Total ('000),Male ('000),Female ('000)
2000, 0 - 4,166.3,86.1,80.2
2000, 5 - 9,117.4,60.2,57.3
2000, 10 - 14,112.9,58.4,54.5
2000, 15 - 19,117,59.6,57.4
2000, 20 - 24,157.5,77.6,79.8
2000, 25 - 29,159,78.3,80.7
2000, 30 - 34,129.9,65.8,64
2000, 35 - 39,112.1,57.5,54.6
2000, 40 - 44,96.4,49.3,47.1
2000, 45 - 49,78,40.2,37.7
2000, 50 - 54,55.1,29.4,25.7
2000, 55 - 59,39.5,21.4,18.1
2000, 60 - 64,29.5,15.1,14.3
2000, 65 - 69,20,9.9,10.1
2000, 70 - 74,12.5,5.8,6.7
2000, 75 - 79,6.7,3,3.7
2000, 80 - 84,3.8,1.5,2.3
2000, 85+,2.5,1,1.5
2001, 0 - 4,163.2,84.5,78.8
2001, 5 - 9,123.7,63.3,60.4
2001, 10 - 14,119.3,61.2,58
2001, 15 - 19,121.5,62,59.5
2001, 20 - 24,152.5,75.9,76.5
2001, 25 - 29,158.9,78.7,80.2
2001, 30 - 34,134,67.1,66.9
2001, 35 - 39,114.6,58.9,55.7
2001, 40 - 44,98.7,50.7,48
2001, 45 - 49,80.9,41.7,39.2
2001, 50 - 54,58.7,31.1,27.6
2001, 55 - 59,41.3,22.3,19
2001, 60 - 64,30.7,16,14.7
2001, 65 - 69,21,10.5,10.6
2001, 70 - 74,13.3,6.3,7.1
2001, 75 - 79,7.2,3.2,3.9
2001, 80 - 84,3.8,1.5,2.3
2001, 85+,2.9,1.2,1.7
2002, 0 - 4,157.1,81.2,75.9
2002, 5 - 9,129.1,66,63.1
2002, 10 - 14,123.9,63.3,60.6
2002, 15 - 19,128.8,65.6,63.2
2002, 20 - 24,148.7,74.7,74
2002, 25 - 29,158.2,78.9,79.2
2002, 30 - 34,137.9,68.5,69.4
2002, 35 - 39,117,59.7,57.2
2002, 40 - 44,101.1,52.3,48.8
2002, 45 - 49,83.5,43,40.5
2002, 50 - 54,62.4,32.9,29.5
2002, 55 - 59,43.5,23.3,20.1
2002, 60 - 64,31.8,16.7,15.1
2002, 65 - 69,22.2,11.2,11
2002, 70 - 74,14,6.7,7.4
2002, 75 - 79,7.8,3.5,4.3
2002, 80 - 84,3.8,1.6,2.3
2002, 85+,3.2,1.4,1.8
2003, 0 - 4,148.8,77,71.9
2003, 5 - 9,133.6,68.3,65.3
2003, 10 - 14,127,64.6,62.3
2003, 15 - 19,136.9,69.4,67.5
2003, 20 - 24,147.7,74.6,73.1
2003, 25 - 29,157.3,79.2,78.1
2003, 30 - 34,140.9,70.1,70.8
2003, 35 - 39,119.4,60.1,59.3
2003, 40 - 44,103.7,54.2,49.5
2003, 45 - 49,86,44.4,41.6
2003, 50 - 54,66,34.6,31.4
2003, 55 - 59,46.1,24.6,21.5
2003, 60 - 64,32.8,17.3,15.5
2003, 65 - 69,23.6,12,11.6
2003, 70 - 74,14.7,7,7.6
2003, 75 - 79,8.6,3.9,4.7
2003, 80 - 84,3.9,1.6,2.3
2003, 85+,3.4,1.6,1.9
2004, 0 - 4,140.3,72.3,68
2004, 5 - 9,137.2,70.2,66.9
2004, 10 - 14,128.9,65.5,63.4
2004, 15 - 19,143.8,72.6,71.2
2004, 20 - 24,150.5,76.1,74.4
2004, 25 - 29,156.8,79.6,77.2
2004, 30 - 34,142.4,71.5,70.9
2004, 35 - 39,122,60.2,61.8
2004, 40 - 44,106.4,56,50.4
2004, 45 - 49,88.6,45.8,42.7
2004, 50 - 54,69.2,36.2,33.1
2004, 55 - 59,49.1,26.1,23
2004, 60 - 64,33.9,17.9,16
2004, 65 - 69,24.9,12.9,12
2004, 70 - 74,15.2,7.4,7.9
2004, 75 - 79,9.4,4.3,5.1
2004, 80 - 84,4.1,1.7,2.4
2004, 85+,3.6,1.6,1.9
2005, 0 - 4,131.7,67.9,63.9
2005, 5 - 9,139.7,71.7,68
2005, 10 - 14,129.9,66,63.9
2005, 15 - 19,148.7,74.8,73.9
2005, 20 - 24,156.4,78.9,77.5
2005, 25 - 29,157.3,80.4,76.9
2005, 30 - 34,143.1,72.8,70.3
2005, 35 - 39,124.6,60.5,64
2005, 40 - 44,109.1,57.4,51.7
2005, 45 - 49,91.2,47.5,43.7
2005, 50 - 54,72.1,37.6,34.5
2005, 55 - 59,52.3,27.7,24.5
2005, 60 - 64,35.4,18.6,16.8
2005, 65 - 69,26.1,13.6,12.5
2005, 70 - 74,16,7.8,8.2
2005, 75 - 79,10.1,4.7,5.4
2005, 80 - 84,4.5,1.9,2.6
2005, 85+,3.6,1.7,1.9
2006, 0 - 4,128.4,66.2,62.2
2006, 5 - 9,137.2,70.4,66.7
2006, 10 - 14,129.6,65.8,63.7
2006, 15 - 19,151.6,76,75.5
2006, 20 - 24,164,82.4,81.6
2006, 25 - 29,159.8,82,77.9
2006, 30 - 34,143.5,74.1,69.5
2006, 35 - 39,126.6,61.1,65.5
2006, 40 - 44,111.7,58.2,53.5
2006, 45 - 49,93.9,49.3,44.6
2006, 50 - 54,74.8,39,35.7
2006, 55 - 59,55.5,29.4,26.1
2006, 60 - 64,37.3,19.5,17.8
2006, 65 - 69,27.2,14.3,12.9
2006, 70 - 74,17,8.5,8.5
2006, 75 - 79,10.7,5,5.7
2006, 80 - 84,5,2.2,2.8
2006, 85+,3.6,1.7,1.9
2007, 0 - 4,127.1,65.7,61.4
2007, 5 - 9,134.1,68.8,65.2
2007, 10 - 14,127.7,64.9,62.8
2007, 15 - 19,152.2,76.3,75.9
2007, 20 - 24,171.9,86,85.9
2007, 25 - 29,165.1,84.6,80.4
2007, 30 - 34,144.5,75.5,69.1
2007, 35 - 39,127.7,62.2,65.5
2007, 40 - 44,114.2,58,56.2
2007, 45 - 49,96.8,51.5,45.3
2007, 50 - 54,77.3,40.4,36.9
2007, 55 - 59,58.5,30.9,27.6
2007, 60 - 64,39.9,20.8,19.1
2007, 65 - 69,28,14.7,13.3
2007, 70 - 74,18.2,9.3,8.9
2007, 75 - 79,11,5.2,5.8
2007, 80 - 84,5.7,2.6,3.1
2007, 85+,3.6,1.7,2
2008, 0 - 4,127,65.6,61.5
2008, 5 - 9,131,67.4,63.6
2008, 10 - 14,124.4,63.2,61.3
2008, 15 - 19,150.5,75.6,74.9
2008, 20 - 24,178.3,88.7,89.6
2008, 25 - 29,173.6,88.5,85
2008, 30 - 34,146.7,77.2,69.4
2008, 35 - 39,127.8,63.7,64
2008, 40 - 44,116.4,57,59.4
2008, 45 - 49,99.9,54,45.9
2008, 50 - 54,79.9,41.8,38.1
2008, 55 - 59,61.1,32.2,28.9
2008, 60 - 64,42.8,22.4,20.4
2008, 65 - 69,28.6,14.8,13.8
2008, 70 - 74,19.7,10.3,9.4
2008, 75 - 79,11,5.2,5.8
2008, 80 - 84,6.5,3,3.5
2008, 85+,3.7,1.7,2
2009, 0 - 4,127.1,65.7,61.4
2009, 5 - 9,129.4,66.6,62.8
2009, 10 - 14,119.5,60.6,58.9
2009, 15 - 19,147.1,74,73.1
2009, 20 - 24,182.5,90.4,92.1
2009, 25 - 29,184.3,93.3,91
2009, 30 - 34,150.6,79.7,70.9
2009, 35 - 39,127.1,65.4,61.8
2009, 40 - 44,118,55.8,62.3
2009, 45 - 49,102.8,55.9,46.9
2009, 50 - 54,82.5,43.4,39.1
2009, 55 - 59,63.3,33.4,29.9
2009, 60 - 64,45.9,24.1,21.8
2009, 65 - 69,29.4,15,14.4
2009, 70 - 74,21,11.2,9.8
2009, 75 - 79,11.1,5.3,5.8
2009, 80 - 84,7.2,3.4,3.8
2009, 85+,3.8,1.7,2.1
2010, 0 - 4,126.4,65.1,61.3
2010, 5 - 9,129.8,66.9,62.9
2010, 10 - 14,112.7,57.1,55.6
2010, 15 - 19,141.7,71.5,70.2
2010, 20 - 24,184,90.9,93.2
2010, 25 - 29,195.5,98.1,97.4
2010, 30 - 34,156.9,83,73.9
2010, 35 - 39,126.9,67.1,59.7
2010, 40 - 44,118.9,55,63.9
2010, 45 - 49,105.6,57,48.5
2010, 50 - 54,85.3,45.2,40.1
2010, 55 - 59,65.5,34.5,30.9
2010, 60 - 64,48.8,25.7,23.1
2010, 65 - 69,30.8,15.5,15.3
2010, 70 - 74,22.1,11.9,10.2
2010, 75 - 79,11.8,5.8,6
2010, 80 - 84,7.6,3.7,3.9
2010, 85+,4.6,1.9,2.7
 